company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
IPIC,ARE,2012-01-01,1968.943,42898,51902.32900000001,51798.572,4952.404,65160.43900000001,23750.229,49596.428,3388.743,,814.975
IPIC,ARE,2013-01-01,2384.397,42237,52834.762,52715.306,5705.502,64707.573,25460.577,50849.83,3702.321,,582.251
IPIC,ARE,2014-01-01,5960.891,43011,51183.65,51049.547,4580.049,66291.356,23321,50041.631,3864.386,,810.692
IPIC,ARE,2015-01-01,2437.033,29920.54,35808.747,34212.566,-1729.39,58044.038,19252.767,44658.155,3300.261,,564.337
IPIC,ARE,2016-01-01,,,,33804,,,,,,,
IPIC,ARE,2017-01-01,,,,,,,,,,,
KazMunayGas,KAZ,2011-01-01,2936.19256,13309.39108,17905.06639,17298.937869999998,4595.675305,42136.22211,12030.09804,20556.63531,4264.224891,,1044.5105
KazMunayGas,KAZ,2012-01-01,2994.188951,14811.31068,19853.59035,18722.92649,5042.279668,45225.72554,12393.15953,21729.80803,5206.628318,,1187.901752
KazMunayGas,KAZ,2013-01-01,3799.981375,16246.93272,21381.29863,20189.86937,5134.3659149999985,49682.6885,13297.31862,23151.34617,4939.900793,,1269.973433
KazMunayGas,KAZ,2014-01-01,3084.060829,6168.362511,5866.84138,3066.300053,-301.521131,49326.17774,12565.55085,24675.97452,4153.140326,,742.4067618
KazMunayGas,KAZ,2015-01-01,2800.012027,5024.572445000002,4937.117384,2680.918826,-87.45506137,48300.80955,15217.5906,20833.96348,2563.6034440000008,,1046.99954
KazMunayGas,KAZ,2016-01-01,1619.540566,4741.658262,5428.557856,4187.152288,686.8995937999998,31635.15079,8380.951309,14732.64576,1415.901125,,478.6975012
KazMunayGas,KAZ,2017-01-01,1954.573623,7364.343464,7542.415264,6150.766179,178.07180019999996,37659.5886,11305.38822,16053.39082,2044.550426,,589.0466275
KPC,KWT,2011-01-01,6185.254471,41640.75279,105384.8512,104428.2565,63744.09843,86894.31017000001,35296.17094,41115.45547,56817.30187999999,14256.8956,359.9912312
KPC,KWT,2012-01-01,6955.172153,55335.5104,144233.1951,143240.1094,88897.6847,97554.59493,42974.17617,27909.99488,80860.85289,20332.62239,343.66838060000015
KPC,KWT,2013-01-01,8487.622056,,141729.5361,140795.0866,,106551.9218,46800.04983,27225.97835,,,255.9086811
KPC,KWT,2014-01-01,8549.827593,51527.48457,137099.4549,136698.8464,85571.97032000001,112507.719,45504.19955,41209.95815,79525.18645,20045.61021,144.570451
KPC,KWT,2015-01-01,10430.37686,43095.31239,106002.278,105656.5931,62906.96564,112055.0875,37104.61979,37809.28515,58963.8677,14889.86488,0
KPC,KWT,2016-01-01,12323.8715,26007.8922,63223.3626,62917.6011,37215.4704,115137.6634,31159.4219,36737.8103,34390.62355,8605.831801999999,311.5337167
KPC,KWT,2017-01-01,16003.41146,22524.54407,65078.31128,64869.74675,42553.76721000001,126315.3866,28985.13929,42308.81234,38830.31938,9351.139805,19.68025303
MOGE,MMR,2011-01-01,,,,,,,,,,,
MOGE,MMR,2012-01-01,,,,,,,,,,,
